,,,,,,,,,
№,Модуль,Summary (краткое изложение),Preconditions (Предварительные условия),Test data (тестовые данные),Steps,Expected Result (ожидаемый результат),Passed or Failed (Пройдено или не пройдено),Link to bug report (Ссылка на отчет об ошибке),Comment
1,Авторизация пользователя через логин и пароль,Авторизация пользователя валидными данными,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl                                ,"ИНН
Пароль","1. Ввести значение в поле ""Логин (Ваш ИНН)""","Пользователь успешно авторизован в системе
Открыт личный кабинет пользователя",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
2,Авторизация пользователя через логин и пароль,Авторизация пользователя валидным логином и невалидным паролем,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl				,"ИНН
Пароль","1. Ввести значение в поле ""Логин (Ваш ИНН)""","Система отображает сообщение об ошибке ""Неверный ИНН/пароль""",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
3,Авторизация пользователя через логин и пароль,Авторизация пользователя невалидным логином и валидным паролем,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl				,"ИНН
Пароль","1. Ввести значение в поле ""Логин (Ваш ИНН)""","Система отображает сообщение об ошибке ""Неверный ИНН/пароль""",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
4,Авторизация пользователя через логин и пароль,Авторизация пользователя невалидными данными,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl				,"ИНН
Пароль","1. Ввести значение в поле ""Логин (Ваш ИНН)""","Система отображает сообщение об ошибке ""Неверный ИНН/пароль""",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
5,Авторизация пользователя через логин и пароль,Авторизация пользователя с пустым полем пароль,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl				,"ИНН
Пароль","1. Ввести значение в поле ""Логин (Ваш ИНН)""","Система отображает сообщение об ошибке ""Неверный ИНН/логин"". Поле пароль подсвечивается красным и под полем отображено сообщением об ошибке ""Не заполнено обязательное поле""",Passed ,,
,,,,,"2. Оставить пустым поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
6,Авторизация пользователя через логин и пароль,Авторизация пользователя с пустым полем логин ,Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl				,"ИНН
Пароль","1. Оставить пустым поле ""Логин (Ваш ИНН)""","Поле логин (Ваш ИНН) подсвечивается красным и под полем отображено сообщением об ошибке ""Не заполнено обязательное поле""",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
7,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Пользователь авторизован в системе
Открыт личный кабинет пользователя



",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидным логином и невалидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
9,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидным логином и валидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подвечены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя с пустым полем пароль,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поле ""Пароль"" - подсвечено красным цветом, под паролем сообщение об ошибке ""введите пароль""


",Passed ,,
,,,,,"2. Отсавить пустым поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
12,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя с пустым полем логин ,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Телефон,"1. Отсавить пустым поле ""Телефон/Email/СНИЛС""","Поле ""Телефон/Email/СНИЛС"" - подсвечено красным цветом, под паролем сообщение об ошибке ""введите логин""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Пользователь авторизован в системе
Открыт личный кабинет пользователя



",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидным логином и невалидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
15,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидным логином и валидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
16,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подвечены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",СНИЛС,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Пользователь авторизован в системе
Открыт личный кабинет пользователя



",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
18,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидным логином и невалидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",СНИЛС,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
19,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидным логином и валидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",СНИЛС,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",СНИЛС,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подвечены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,